path,required,category,notes
docs/PACKAGE-FILE-AUDIT.md,0,docs,documentation
docs/PROJECT-SLIMDOWN-INVENTORY.csv,0,docs,documentation
docs/PROJECT-SLIMDOWN-PLAN.md,0,docs,documentation
eslint.config.js,0,config,build/dev config
LICENSE,0,other-dev,
manifest.config.ts,0,config,build/dev config
package-lock.json,0,config,npm metadata; not shipped
package.json,0,config,npm metadata; not shipped
public/assets/youtube-content.bundle.js,0,public-input,static build input; not shipped as-is
public/assets/youtube-content.bundle.js.map,0,public-input,static build input; not shipped as-is
public/icons/icon-128.png,0,public-input,static build input; not shipped as-is
public/icons/icon-16.png,0,public-input,static build input; not shipped as-is
public/icons/icon-32.png,0,public-input,static build input; not shipped as-is
public/icons/icon-48.png,0,public-input,static build input; not shipped as-is
public/icons/logo-source.png,0,public-input,static build input; not shipped as-is
README.md,0,docs,markdown notes
release/justpractice-1.0.0.zip,0,other-dev,
scripts/build-youtube-bundle.mjs,0,script,build pipeline input
scripts/generate-icons.mjs,0,script,build pipeline input
scripts/generate-package-file-audit.mjs,0,script,dev tooling
scripts/generate-slimdown-inventory.mjs,0,script,dev tooling
scripts/package-dist-closure.mjs,0,script,dev tooling
scripts/package-extension.mjs,0,script,dev tooling
scripts/package-safety.mjs,0,script,dev tooling
scripts/patch-crx-build.mjs,0,script,build pipeline input
scripts/verify-extension-dist.mjs,0,script,build pipeline input
scripts/vite-plugin-youtube-bundle.ts,0,script,build pipeline input
src/background/backgroundContextMenus.ts,0,source,TypeScript source; bundled into dist
src/background/backgroundDurationEnrich.ts,0,source,TypeScript source; bundled into dist
src/background/backgroundMessageHandlers.ts,0,source,TypeScript source; bundled into dist
src/background/backgroundOEmbed.ts,0,source,TypeScript source; bundled into dist
src/background/backgroundOnboarding.test.ts,0,test,unit test; compiled away
src/background/backgroundOnboarding.ts,0,source,TypeScript source; bundled into dist
src/background/index.ts,0,source,TypeScript source; bundled into dist
src/content/feedCards.ts,0,source,TypeScript source; bundled into dist
src/content/learningFocusMode.test.ts,0,test,unit test; compiled away
src/content/learningFocusMode.ts,0,source,TypeScript source; bundled into dist
src/content/practicePlaybackMeter.test.ts,0,test,unit test; compiled away
src/content/practicePlaybackMeter.ts,0,source,TypeScript source; bundled into dist
src/content/watchPanelBoot.ts,0,source,TypeScript source; bundled into dist
src/content/watchPanelGoalRingCelebration.test.ts,0,test,unit test; compiled away
src/content/watchPanelGoalRingCelebration.ts,0,source,TypeScript source; bundled into dist
src/content/watchPanelHost.test.ts,0,test,unit test; compiled away
src/content/watchPanelSpawn.ts,0,source,TypeScript source; bundled into dist
src/content/youtube.ts,0,source,TypeScript source; bundled into dist
src/content/youtubeDebug.ts,0,source,TypeScript source; bundled into dist
src/content/youtubeLibraryPanel.ts,0,source,TypeScript source; bundled into dist
src/content/youtubeMessaging.ts,0,source,TypeScript source; bundled into dist
src/content/youtubePanelCalendarUi.test.ts,0,test,unit test; compiled away
src/content/youtubePanelCalendarUi.ts,0,source,TypeScript source; bundled into dist
src/content/youtubePanelCss.ts,0,source,TypeScript source; bundled into dist
src/content/youtubePanelHtml.ts,0,source,TypeScript source; bundled into dist
src/content/youtubePanelMount.ts,0,source,TypeScript source; bundled into dist
src/content/youtubePanelUi.libraryChrome.test.ts,0,test,unit test; compiled away
src/content/youtubePanelUi.ts,0,source,TypeScript source; bundled into dist
src/content/youtubePlayerHooks.test.ts,0,test,unit test; compiled away
src/content/youtubePlayerHooks.ts,0,source,TypeScript source; bundled into dist
src/content/youtubePracticeTimer.test.ts,0,test,unit test; compiled away
src/content/youtubePracticeTimer.ts,0,source,TypeScript source; bundled into dist
src/content/youtubeWatchLifecycle.test.ts,0,test,unit test; compiled away
src/content/youtubeWatchLifecycle.ts,0,source,TypeScript source; bundled into dist
src/content/youtubeWatchPanelCompletion.ts,0,source,TypeScript source; bundled into dist
src/content/youtubeWatchPanelRuntime.ts,0,source,TypeScript source; bundled into dist
src/content/youtubeWatchPanelVideoFlow.test.ts,0,test,unit test; compiled away
src/content/youtubeWatchPanelVideoFlow.ts,0,source,TypeScript source; bundled into dist
src/dashboard/dashboard.css,0,source,TypeScript source; bundled into dist
src/dashboard/dashboardDomUpdate.ts,0,source,TypeScript source; bundled into dist
src/dashboard/dashboardFormatters.ts,0,source,TypeScript source; bundled into dist
src/dashboard/dashboardIcons.ts,0,source,TypeScript source; bundled into dist
src/dashboard/dashboardListeners.ts,0,source,TypeScript source; bundled into dist
src/dashboard/dashboardPathLayout.test.ts,0,test,unit test; compiled away
src/dashboard/dashboardPathLayout.ts,0,source,TypeScript source; bundled into dist
src/dashboard/dashboardPathSection.ts,0,source,TypeScript source; bundled into dist
src/dashboard/dashboardTemplates.ts,0,source,TypeScript source; bundled into dist
src/dashboard/dashboardViewModel.ts,0,source,TypeScript source; bundled into dist
src/dashboard/dashViewPersistence.test.ts,0,test,unit test; compiled away
src/dashboard/dashViewPersistence.ts,0,source,TypeScript source; bundled into dist
src/dashboard/index.html,0,source,TypeScript source; bundled into dist
src/dashboard/main.ts,0,source,TypeScript source; bundled into dist
src/dashboard/roadmapCompletionCelebration.test.ts,0,test,unit test; compiled away
src/dashboard/roadmapCompletionCelebration.ts,0,source,TypeScript source; bundled into dist
src/i18n/index.ts,0,source,TypeScript source; bundled into dist
src/i18n/localeMeta.ts,0,source,TypeScript source; bundled into dist
src/i18n/localeParity.test.ts,0,test,unit test; compiled away
src/i18n/locales/de.json,0,source,TypeScript source; bundled into dist
src/i18n/locales/en.json,0,source,TypeScript source; bundled into dist
src/i18n/locales/es.json,0,source,TypeScript source; bundled into dist
src/i18n/locales/fr.json,0,source,TypeScript source; bundled into dist
src/i18n/locales/he.json,0,source,TypeScript source; bundled into dist
src/i18n/locales/ja.json,0,source,TypeScript source; bundled into dist
src/lib/achievements.test.ts,0,test,unit test; compiled away
src/lib/achievements.ts,0,source,TypeScript source; bundled into dist
src/lib/branding.ts,0,source,TypeScript source; bundled into dist
src/lib/dailyMotivation.test.ts,0,test,unit test; compiled away
src/lib/dailyMotivation.ts,0,source,TypeScript source; bundled into dist
src/lib/dataSignature.test.ts,0,test,unit test; compiled away
src/lib/dataSignature.ts,0,source,TypeScript source; bundled into dist
src/lib/extensionDist.test.ts,0,test,unit test; compiled away
src/lib/extensionMessaging.ts,0,source,TypeScript source; bundled into dist
src/lib/goalFormat.test.ts,0,test,unit test; compiled away
src/lib/goalFormat.ts,0,source,TypeScript source; bundled into dist
src/lib/htmlEscape.ts,0,source,TypeScript source; bundled into dist
src/lib/levelTags.test.ts,0,test,unit test; compiled away
src/lib/levelTags.ts,0,source,TypeScript source; bundled into dist
src/lib/messages.ts,0,source,TypeScript source; bundled into dist
src/lib/packageSafety.test.ts,0,test,unit test; compiled away
src/lib/pathBuilder.test.ts,0,test,unit test; compiled away
src/lib/pathBuilder.ts,0,source,TypeScript source; bundled into dist
src/lib/pathStepProgress.ts,0,source,TypeScript source; bundled into dist
src/lib/playerProgress.test.ts,0,test,unit test; compiled away
src/lib/playerProgress.ts,0,source,TypeScript source; bundled into dist
src/lib/playerProgressEvents.test.ts,0,test,unit test; compiled away
src/lib/playerProgressEvents.ts,0,source,TypeScript source; bundled into dist
src/lib/practiceGoals.test.ts,0,test,unit test; compiled away
src/lib/practiceGoals.ts,0,source,TypeScript source; bundled into dist
src/lib/practiceStats.test.ts,0,test,unit test; compiled away
src/lib/practiceStats.ts,0,source,TypeScript source; bundled into dist
src/lib/roadmapBonusVideo.test.ts,0,test,unit test; compiled away
src/lib/roadmapBonusVideo.ts,0,source,TypeScript source; bundled into dist
src/lib/roadmapCompletionSnapshot.test.ts,0,test,unit test; compiled away
src/lib/roadmapCompletionSnapshot.ts,0,source,TypeScript source; bundled into dist
src/lib/storage.test.ts,0,test,unit test; compiled away
src/lib/storage.ts,0,source,TypeScript source; bundled into dist
src/lib/storageMigrate.ts,0,source,TypeScript source; bundled into dist
src/lib/storageSyncPoll.test.ts,0,test,unit test; compiled away
src/lib/storageSyncPoll.ts,0,source,TypeScript source; bundled into dist
src/lib/storageTypes.ts,0,source,TypeScript source; bundled into dist
src/lib/todayPath.test.ts,0,test,unit test; compiled away
src/lib/todayPath.ts,0,source,TypeScript source; bundled into dist
src/lib/todayPathPlan.ts,0,source,TypeScript source; bundled into dist
src/lib/todayPathTypes.ts,0,source,TypeScript source; bundled into dist
src/lib/videoDailyPractice.test.ts,0,test,unit test; compiled away
src/lib/videoDailyPractice.ts,0,source,TypeScript source; bundled into dist
src/lib/videoDuration.ts,0,source,TypeScript source; bundled into dist
src/lib/welcomeConfig.test.ts,0,test,unit test; compiled away
src/lib/welcomeConfig.ts,0,source,TypeScript source; bundled into dist
src/lib/welcomePage.ts,0,source,TypeScript source; bundled into dist
src/lib/xpDebug.test.ts,0,test,unit test; compiled away
src/lib/xpDebug.ts,0,source,TypeScript source; bundled into dist
src/lib/yearHeatmapCalendar.test.ts,0,test,unit test; compiled away
src/lib/yearHeatmapCalendar.ts,0,source,TypeScript source; bundled into dist
src/lib/yearHeatmapHtml.ts,0,source,TypeScript source; bundled into dist
src/lib/yearHeatmapInteractive.ts,0,source,TypeScript source; bundled into dist
src/lib/yearHeatmapMonth.test.ts,0,test,unit test; compiled away
src/lib/yearHeatmapMonth.ts,0,source,TypeScript source; bundled into dist
src/lib/yearHeatmapMonthHtml.ts,0,source,TypeScript source; bundled into dist
src/lib/youtubeIds.test.ts,0,test,unit test; compiled away
src/lib/youtubeIds.ts,0,source,TypeScript source; bundled into dist
src/lib/youtubeMeta.ts,0,source,TypeScript source; bundled into dist
src/lib/youtubePageTitle.test.ts,0,test,unit test; compiled away
src/lib/youtubePageTitle.ts,0,source,TypeScript source; bundled into dist
src/lib/youtubeTabMessaging.test.ts,0,test,unit test; compiled away
src/lib/youtubeTabMessaging.ts,0,source,TypeScript source; bundled into dist
src/lib/youtubeWatchPageDuration.test.ts,0,test,unit test; compiled away
src/lib/youtubeWatchPageDuration.ts,0,source,TypeScript source; bundled into dist
src/popup/index.html,0,source,TypeScript source; bundled into dist
src/popup/main.ts,0,source,TypeScript source; bundled into dist
src/popup/popup.css,0,source,TypeScript source; bundled into dist
src/vite-env.d.ts,0,source,TypeScript source; bundled into dist
src/welcome/index.html,0,source,TypeScript source; bundled into dist
src/welcome/main.ts,0,source,TypeScript source; bundled into dist
src/welcome/welcome.css,0,source,TypeScript source; bundled into dist
src/welcome/welcomeHelloAnimation.test.ts,0,test,unit test; compiled away
src/welcome/welcomeHelloAnimation.ts,0,source,TypeScript source; bundled into dist
tsconfig.json,0,config,build/dev config
tsconfig.node.json,0,config,build/dev config
tsconfig.tsbuildinfo,0,config,build/dev config
vite.config.ts,0,config,build/dev config
vitest.config.ts,0,config,build/dev config
