path,size_bytes,action,reason,phase
src/lib/playerProgress.ts,8133,KEEP,application source; required to build extension,—
src/lib/playerProgressEvents.test.ts,3330,KEEP,unit test; recommended for regression safety,—
src/lib/playerProgressEvents.ts,4127,KEEP,application source; required to build extension,—
src/lib/practiceGoals.test.ts,1333,KEEP,unit test; recommended for regression safety,—
src/lib/practiceGoals.ts,893,KEEP,application source; required to build extension,—
src/lib/practiceStats.test.ts,8861,KEEP,unit test; recommended for regression safety,—
src/lib/practiceStats.ts,8838,KEEP,application source; required to build extension,—
src/lib/roadmapBonusVideo.test.ts,4466,KEEP,unit test; recommended for regression safety,—
src/lib/roadmapBonusVideo.ts,7449,KEEP,application source; required to build extension,—
src/lib/roadmapCompletionSnapshot.test.ts,4860,KEEP,unit test; recommended for regression safety,—
src/lib/roadmapCompletionSnapshot.ts,7052,KEEP,application source; required to build extension,—
src/lib/storage.test.ts,13248,KEEP,unit test; recommended for regression safety,—
src/lib/storage.ts,1021,KEEP,application source; required to build extension,—
src/lib/storageMigrate.ts,5972,KEEP,application source; required to build extension,—
src/lib/storageSyncPoll.test.ts,2051,KEEP,unit test; recommended for regression safety,—
src/lib/storageSyncPoll.ts,903,KEEP,application source; required to build extension,—
src/lib/storageTypes.ts,21793,KEEP,application source; required to build extension,—
src/lib/todayPath.test.ts,12043,KEEP,unit test; recommended for regression safety,—
src/lib/todayPath.ts,14377,KEEP,application source; required to build extension,—
src/lib/todayPathPlan.ts,2363,KEEP,application source; required to build extension,—
src/lib/todayPathTypes.ts,454,KEEP,application source; required to build extension,—
src/lib/videoDailyPractice.test.ts,1691,KEEP,unit test; recommended for regression safety,—
src/lib/videoDailyPractice.ts,2372,KEEP,application source; required to build extension,—
src/lib/videoDuration.ts,314,KEEP,application source; required to build extension,—
src/lib/welcomeConfig.test.ts,610,KEEP,unit test; recommended for regression safety,—
src/lib/welcomeConfig.ts,627,KEEP,application source; required to build extension,—
src/lib/welcomePage.ts,258,KEEP,application source; required to build extension,—
src/lib/xpDebug.test.ts,535,KEEP,unit test; recommended for regression safety,—
src/lib/xpDebug.ts,3144,KEEP,application source; required to build extension,—
src/lib/yearHeatmapCalendar.test.ts,2988,KEEP,unit test; recommended for regression safety,—
src/lib/yearHeatmapCalendar.ts,8413,KEEP,application source; required to build extension,—
src/lib/yearHeatmapHtml.ts,9371,KEEP,application source; required to build extension,—
src/lib/yearHeatmapInteractive.ts,7488,KEEP,application source; required to build extension,—
src/lib/yearHeatmapMonth.test.ts,3630,KEEP,unit test; recommended for regression safety,—
src/lib/yearHeatmapMonth.ts,5256,KEEP,application source; required to build extension,—
src/lib/yearHeatmapMonthHtml.ts,9149,KEEP,application source; required to build extension,—
src/lib/youtubeIds.test.ts,9459,KEEP,unit test; recommended for regression safety,—
src/lib/youtubeIds.ts,8351,KEEP,application source; required to build extension,—
src/lib/youtubeMeta.ts,217,KEEP,application source; required to build extension,—
src/lib/youtubePageTitle.test.ts,1238,KEEP,unit test; recommended for regression safety,—
src/lib/youtubePageTitle.ts,542,KEEP,application source; required to build extension,—
src/lib/youtubeTabMessaging.test.ts,644,KEEP,unit test; recommended for regression safety,—
src/lib/youtubeTabMessaging.ts,4198,KEEP,application source; required to build extension,—
src/lib/youtubeWatchPageDuration.test.ts,929,KEEP,unit test; recommended for regression safety,—
src/lib/youtubeWatchPageDuration.ts,2497,KEEP,application source; required to build extension,—
src/popup/index.html,438,KEEP,application source; required to build extension,—
src/popup/main.ts,15540,KEEP,application source; required to build extension,—
src/popup/popup.css,7109,KEEP,application source; required to build extension,—
src/vite-env.d.ts,39,KEEP,application source; required to build extension,—
src/welcome/index.html,452,KEEP,application source; required to build extension,—
src/welcome/main.ts,17061,KEEP,application source; required to build extension,—
src/welcome/welcome.css,11919,KEEP,application source; required to build extension,—
src/welcome/welcomeHelloAnimation.test.ts,754,KEEP,unit test; recommended for regression safety,—
src/welcome/welcomeHelloAnimation.ts,3200,KEEP,application source; required to build extension,—
tsconfig.json,411,KEEP,project root / tooling config,—
tsconfig.node.json,223,KEEP,project root / tooling config,—
vite.config.ts,884,KEEP,project root / tooling config,—
vitest.config.ts,164,KEEP,project root / tooling config,—
